patent_number,title,enhanced_title,novelty,advantage,biology,examples,chemistry,first_publication_date,first_priority_number,first_priority_date,last_change_date,application_number,application_date
WO-2025038666,Compounds and methods for treating addiction,"New substituted indole compounds as 5-HT2A and 5-HTe receptor agonists alone or in combination with thiamine - useful for treating eg anxiety, inflammation, and addiction.","New substituted indole compounds, their salts, analogs, compositions comprising them, and their use in treating addiction and/or reducing relapse use of an addictive agent is claimed. It is also claimed that the treatment may further comprise administering thiamine or sulbutiamine. The compounds are further claimed to be useful for treating an ailment eg anxiety, inflammation, addiction, traumatic brain injury, cerebral aneurysm, glaucoma, fibromyalgia, depression, Parkinson's disease, and brain tumors. The compounds are disclosed to act as 5-HT2A and 5-HTe receptor agonists.",The compounds are selective 5-HT2A and 5-HTe receptor agonists.,"A cllinical study was performed to determine the efficacy of (I) in combination with (II), in patient suffering from addiction to fentanyl. Results revealed that symptoms of withdrawal and cravings are reduced approximately 90% after the first injection comprising a solution for injection of (I+II), she was successful and remains “clean” for three months, after which, she continues bi-weekly counseling without injections (example 4, page 49).",,"Several compounds including compound D3 (I) (GATC-1021, page 5; formula D3, claim 25, page 57) in combination with two active agents including eg thiamine (II) (claim 4, page 52) are specifically claimed.",2025-02-20,US2023532417,2023-08-13,2025-03-04,,
WO-2025038406,"Design, synthesis, and biological evaluation of nitrogen-walk derivatives of nan as mu opioid receptor selective modulators",New substituted morphinan derivatives are mu opioid receptor reversible antagonists - useful for treating neurological diseases.,"New substituted morphinan derivatives, their salts, stereoisomers, and compositions and combinations comprising them, and their use for treating opioid addiction, opioid overdose, acute and/or chronic pain such as eg cancer pain, neuropathic pain, pain due to inflammation, arthritis pain and neurological disease caused by a bacterial or viral infection, Alzheimer's disease, Parkinson's disease, dementia, depression and/or anxiety, aberrant behavioral changes, traumatic head injury, sports related head injury or chemotherapy are claimed.",The compounds are non-toxic.,"A case study was conducted to evaluate activity of (I) in a subject suffering from addiction to an opioid. Results showed that when treated with (I), subject is cured of his/her dependency on the opioid, without experiencing the typical side effects of opioid withdrawal and without causing constipation (example 2, page 47). A n in vivo study was conducted to evaluate activity of (I) in morphine-pelleted mice using warm-water tail immersion assay. Results showed that when comparing (I) to naloxone (NLX), (I) has less withdrawal effects even at doses 5 times higher and (I) produced less wet dog shakes, jumps and paw tremoring than NLX at 1 mg/kg. Even at 5 mg/kg, (I) produced less wet dog shakes and paw tremoring than NLX at 1 mg/kg (page 27-28; figure 5, page 6).",,"Several compounds including compound 7 (I; 17-Cyclopropylmethyl-3,14??-dihydro-4,5??-epoxy-6?-[1H-pyrrolo[2,3-c]pyridine-7-carboxamide]morphinan hydrochloride) (table 1, page 23 and 24; page 32) are specifically exemplified, however no compounds are specifically claimed. A Markush structure is presented (claim 1, page 49).",2025-02-20,US2023532172,2023-08-11,2025-03-04,,
WO-2025037940,Pyrazole-1-carboxamides as RIP1 kinase inhibitors,"Novel substituted pyrazole-1-carboxamide compounds are RIP1 kinase inhibitors - useful for treating glaucoma, type I diabetes, cancer, inflammatory and neurodegenerative diseases.","Novel substituted pyrazole-1-carboxamide compounds, its salts, solvates, polymorphs, esters, tautomers, stereoisomers or prodrugs thereof, compositions and combinations comprising them, is claimed. The compounds are claimed to be useful for alleviating or ameliorating symptoms of an RIPK1 mediated disease or condition by inhibiting RIPK1 activity selected from cancers (eg lung cancer or melanoma), multiple sclerosis, glaucoma, rheumatoid arthritis, sepsis, Alzheimer's disease, type I diabetes, ischemia, dermatitis, and asthma.",The compounds show good RIPK1 inhibitory activity.,An in vitro test was conducted in HMC3 and HT-29 cells to determine the RIPK1 inhibitor activity of the compounds. (I) showed an IC50 value of below 10 nM against necroptosis and phspho-RIPK1 (Ser166) (page 81-84; table 2).,,"Several compounds including 4-(3-fluorobenzyl)-N-((S)-5-methyl-4-oxo-7-(2-((S)-2,2,5,5-tetramethyl-1,3-dioxolan-4-yl)ethoxy)-2,3,4,5-tetrahydrobenzo[b][1,4]oxazepin-3-yl)-1H-pyrazole-1-carboxamide (I) (example 1, page 35; claim 2, page 85) are specifically claimed. A Markush structure is presented (claim 1, page 85). Sequences provided in source document.",2025-02-20,US2023520034,2023-08-16,2025-02-25,,
WO-2025037317,Hydroxynorketamine analogs and uses thereof,New hydroxynorketamine analogs are mu opioid receptor agonists - useful for treating eg mental disorders.,"New hydroxynorketamine compounds, their salts, stereoisomers, esters, prodrugs, and/or solvates and compositions and combinations comprising them and their use as mu opioid receptor (MOR) agonists for treating mental disorder eg bipolar disorder, major depressive disorder, suicidality, pain, postpartum depression, obsessive compulsive disorder, post-traumatic stress disorder, amyotrophic lateral sclerosis, Alzheimer's disease and inflammatory disease are claimed.",The compounds are potentially safe and effective analgesics.,"A phase clinical trial was conducted in SARS-CoV-2 positive patients to determine the efficacy of the test compounds. Results showed that the treatment reduced plasma/saliva concentrations of pro-inflammatory agents, improved clinical status, and reduced anxiety and depression (example 53, page 72). Also, in an in vivo test conducted in SNI model mouse, (I) showed a significant pain relief at 30 min (** P < 0.01), peaks at 60 min; whereas HNK does not produce significant pain relief at 30 min, produced significant relief at 60 min (* P < 0.05) and continued to increase at 240 min (* P < 0.05) (example 54, page 73, figure 1).",,"Several compounds including 2-amino-2-(2-chlorophenyl)-6-[(2-hydroxyethyl)sulfanyl]cyclohexan-1-one (I) (XXVII; example 16, page 51, claim 4, page 91) are specifically claimed. A Markush structure is presented (claim 1, page 79).",2025-02-20,US2023532929,2023-08-16,2025-03-05,,
WO-2025037013,Diagnostic compounds that bind to alpha-synuclein,New substituted heterocyclic compounds - useful for imaging of alpha-synuclein aggregates in brain and diagnosing diseases.,"New substituted heterocyclic compounds, their salts, hydrates, solvates, detectably labeled compounds, stereoisomers and/or racemic mixtures, their precursors, diagnostic compositions, kits and radiopharmaceuticals comprising them, and processes for their preparation are claimed, along with their use for imaging of ?-synuclein aggregates in brain and diagnosing diseases including Alzheimer's disease, multiple system atrophy, frontotemporal dementia, amyotrophic lateral sclerosis, prion diseases, traumatic brain injury, Parkinson's disease, Lewy Body dementia, progressive supranuclear palsy and Huntington's disease. Methods for diagnosing diseases associated with ?-synuclein aggregates, PET imaging and quantification of ?-synuclein aggregates, and collecting data for the diagnosis or prognosis of the diseases using the compounds are also claimed.","The compounds have greater metabolic stability, better diagnostic efficacy, and reduced dosage requirements.","In an in vitro assay, (I) exhibited a mean Ki value of 20 nM against Parkinson's diseased brain derived alpha-synuclein aggregates (pages 88 and 89; table 4).",,"Several compounds including (5-(1-(2-fluoroethyl)-1H-pyrazol-3-yl)-2-(6-(pyrrolidine-1-yl)pyridine-3-yl)-4,5-dihydro-6H-pyrrolo[3,4-d]oxazol-6-one hydrochloride (I) (compound 12, example 12, page 76; claim 10, page 92) are specifically claimed. Markush structures are presented (claim 1, page 90).",2025-02-20,EP2023191782,2023-08-16,2025-03-05,,
CN-119371435,"Benzo [5, 6] spiroacetal lactone nfp 3 inflammation small body inhibitor and synthesis method and application thereof","New benzo[5,6]spiroacetal lactone for preparing nucleotide-binding domain, leucine-rich-containing family, pyrin domain-containing-3 inflammasome inhibitor, medicine for treating diseases such as gout, rheumatoid arthritis, type 2 diabetes, neurodegenerative diseases and atherosclerosis","Benzo[5,6]spiroacetal lactone (I) are new. Benzo[5,6]spiroacetal lactone (I) for preparing nucleotide-binding domain, leucine-rich-containing family, pyrin domain-containing-3 (NLRP3) inflammasome inhibitor, medicine for treating diseases related to abnormal activation of NLRP3 inflammasome (all claimed); such as gout, rheumatoid arthritis, type 2 diabetes, neurodegenerative diseases and atherosclerosis.",,"The compound exhibits IC 50 values of some compounds in the hundreds of nanomoles; has inhibitory effects comparable to glibenclamide and 5-Chloro-2-methoxy-N-(4-(N-methylsulfamoyl)phenethyl)benzamide (JC124), reduces the release of pro-inflammatory factors such as interleukin-1-beta (IL1?) and IL18.",,"An independent claim is included for a synthesis method of the benzo[5,6]spiroacetal lactone (I).R=phenyl, substituted phenyl, 4- biphenyl, styryl, 2-naphthyl, 2-furyl, methyl, dimethyl acetal group and phenylethynyl; the substituted phenyl is selected from any one of 2-bromophenyl, 2- methylphenyl, 3-bromophenyl, 3-methylphenyl, 3- methoxyphenyl, 4-fluorophenyl, 4-bromophenyl, 4- methylphenyl, 4-methoxyphenyl and 4-cyanophenyl.",2025-01-28,CN202411947725,2024-12-27,2025-03-12,,
WO-2025015268,Modulators of calcitonin receptor and/or amylin receptor activity,"New substituted pyridine compounds are amylin receptor inhibitors, used to treat calcitonin receptor and/or amylin receptor associated disease or disorder including e.g. bone disorder, metabolic disorder, pain, osteoporosis and osteopenia","Substituted pyridine compounds (I) are new. (I) are useful for treating calcitonin receptor and/or amylin receptor associated disease or disorder including bone disorder, metabolic disorder, pain, neurodegenerative disease or disorder, cardiovascular disease or other disease or disorder, or osteoporosis, Paget's disease, hypercalcemia, Sudeck's atrophy, polystatic fibrous displasia, intersemocostoclavicular ossification, osteogenesis imperfecta, osteopenia, periodontal disease or defect, osteolytic bone disease, metastatic bone disorder, ...",,"..., bone loss resulting from a malignancy, autoimmune arthritides, fracture, osteopathic pain, phantom limb pain, general pain, hyperalgesia, pain associated with diabetic neuropathy, non-alcoholic fatty liver disease, non-alcoholic steatohepatitis, Alzheimer's disease, insulin dependent diabetes, non-insulin dependent diabetes, impaired glucose tolerance, obesity, syndrome X, a diabetic complication, primary or secondary hyperthyroidism, endocrine disorder, conditions associated with inhibiting gastric secretion, gastrointestinal disorders, renal osteodystrophy or male infertility in subject (all claimed).",,,2025-01-16,WO2023CN107247,2023-07-13,2025-03-07,,
WO-2025043213,Therapeutic compounds and methods,"New dihydromyricetin derivatives are neuromodulators - useful for treating, eg alzheimer's disease and cancers.","New dihydromyricetin derivatives or their salts, compositions comprising the compounds and their combination with natural products, eg melatonin are claimed. The compounds are claimed to be useful for treating, eg Alzheimer's disease, Parkinson's disease, vascular dementia, Lewy body dementia, frontotemporal dementia, mixed dementia, Wernicke-Korsakoff syndrome, epilepsy, alcohol use disorder and cancers by neuromodulation.","The compounds exhibit increased potency and efficacy, improved water solubility, enhanced bioavailability, increased permeability to the blood brain barrier and increased stability.","An in vivo test was performed to evaluate the effects of (I) in replicating DHM's cognitive and behavioral benefits in TG-mice models of Alzheimer's disease (AD). The study aims to assess (I) impact on recognition memory (ORI improvement from 51.2% ± 3.6% in TG-mice to 70.1% ± 6.8% with D-P treatment), locomotor activity (increase from 255 ± 12 cm to 611 ± 99 cm in TG-mice), and anxiety-related behaviors (pages 33-35; figures 16-18).",,"Several compounds are specifically claimed, including dihydromyricetin (DHM)-piperidine (DHMP) (I) (example 2, pages 45 and 46; claim 14, page 58). A Markush structure is presented (claim 1, page 55).",2025-02-27,US2023578303,2023-08-23,2025-03-11,,
WO-2025042884,Serotonin receptor modulators for the treatment of addictions and overdoses,Use of combination comprising 5-HT2A receptor antagonist eg ketanserin and 5-HT2C receptor agonist eg bexicaserin - for treating addiction and overdose.,A method for treating a disease or condition such as addiction and an overdose comprising administering to a subject a composition comprising or consisting essentially of 5-HT2A receptor antagonist and a 5-HT2C receptor agonist is claimed; wherein the method further comprising administering a 5-HT2B receptor antagonist.,"The combination is safe, effective and selectively modulate multifunctional serotonergic target receptors.","An in vivo protocol for evaluating the pharmacokinetic properties of unspecified test compounds in male and female C57/BL6J mice; however, no resultant data are provided (pages 212-213).",,"Ketanserin (I) (page 107; claim 7, page 224) along with bexicaserin (II) (claim 6, page 224) is the only combination specifically claimed for use. A Markush structure is presented (claim 9, page 224).",2025-02-27,US2023520868,2023-08-21,2025-03-11,,
WO-2025042769,Compounds and methods for inhibiting poly(adp-ribose) polymerases,New substituted heterocyclic compounds are PARP (PARP-1 and/or PARP-2) inhibitors - useful for treating cancer and neurodegenerative disease.,"New substituted heterocyclic compounds, or a salt, stereoisomer, isotopologue, any mixtures, combination and composition comprising them are claimed. The compounds are claimed to be useful for inhibiting at least one PARP (PARP-1 and/or PARP-2) for treating cancer (eg neuroblastoma, glioblastoma, multiple myeloma, Kaposi's sarcoma, skin cancer) and neurodegenerative disease (eg Parkinson's disease, Alzheimer's disease, Lewy body dementia, Alzheimer's disease related dementia, and Amyotrophic lateral sclerosis).",The compounds are effective in treating cancers and/or neurodegenerative diseases and do not have the adverse effects of the currently available PARPis or have milder adverse effects comparing to the currently available PARP inhibitors.,"In an in vitro assay, several compounds including (I) showed an IC50 value of < 1 nM against PARP-isoforms (example 2, table 2; pages 135-136).",,"Several compounds are specifically claimed including 2-(4-((azetidin-3-ylmethyl)carbamoyl)phenyl)-1H-benzo[d]imidazole-4-carboxamide (I) (compound 3) (table 1, page 47; claim 34, page 184). A Markush structure is presented (claim 1, page 169).",2025-02-27,US2023520516,2023-08-18,2025-03-05,,
WO-2025042657,Kappa-opioid receptor antagonists,"New substituted quinoline compounds are Kappa-opioid receptor antagonists - useful for treating eg epilepsy, obesity, and migraine.","New substituted quinoline compounds or its salt, and compositions comprising them are claimed, along with their use as kappa-opioid receptor (KOR) antagonists for treating eg substance abuse or addiction, psychiatric disorder, obesity and eating disorders, migraine, postnatal depression, neurodegenerative disease or disorder, epilepsy, seizure, and disruption of sleep associated with pain, a psychiatric disorder, or a drug therapy of a psychiatric disorder.",No specific advantage is given.,"In an in vitro assay, several compounds including (I) showed an IC50 value of < 1 nM against KOR (table 2; pages 61-67).",,"Several compounds are specifically claimed including (S)-1-(6-ethyl-8-fluoro-4-methyl-3-(3-methyl-1,2,4-oxadiazol-5-yl)quinolin-2-yl)-3-methyl-N-(((R)-tetrahydrofuran-2-yl)methyl)pyrrolidin-3-amine (I) (compound 36) (example 4, page 41; claim 32, page 81). A Markush structure is presented (claim 1, page 71).",2025-02-27,US2023520496,2023-08-18,2025-03-12,,
WO-2025042610,Pifithrin analogues and methods of treating rett syndrome,"New pifithrin analogs - useful for treating Rett Syndrome caused by a mutation in the MECP2 gene on the X chromosome, Down Syndrome, and neuronal dysfunction.","Pifithrin analogues, compositions comprising them, and their use for treating Rett Syndrome, Down Syndrome, neuronal dysfunction and/or neuronal senescence are claimed.",No specific advanatge is given.,"An in vivo study was conducted to evaluate activity of (I) in transgenic mice. Results showed that wildtype animals showed a baseline score with minimal impairment (low score), and that this is not influenced by chow with compound. On the other hand, transgenic animals fed the chow with (I) showed diminished effect of loss of MECP2 activity (page 8; figure 5,6, page 8).",,"Several Pifithrin analogues including 2-(2-imino-5,6-dihydro-2H-cyclopenta[d]thiazol-3(4H)-yl)-1-(p-tolyl)ethan-1-one hydrogen bromide (I; MXL026) (page 16; claim 1, page 37) are specifically claimed.",2025-02-27,US2023520704,2023-08-21,2025-03-06,,
WO-2025040658,Selective cyclized peptide kappa-opioid receptor agonists,New cyclic peptide or cyclized dynorphin A analogs are selective cyclized peptide kappa-opioid receptor agonists - useful for treating pain and inflammatory disease.,"New cyclic peptide or cyclized dynorphin A analogs which acts as a G-protein-biased kappa opioid receptor (KOR) agonist with high selectivity (Ki ~60 nM), minimal ?-arrestin recruitment, low MOR affinity (Ki >1000 nM), and superior antinociceptive potency compared to U50,488 is claimed. Compositions comprising the compounds and methods for preparing them are claimed. The compounds are claimed to be useful for treating pain (eg nociceptive pain, musculoskeletal pain and neuropathic pain), inflammation/an inflammatory disease (inflammatory bowel disease) and pruritus and/or itching/itching disorders.","The compounds exhibit enhanced selectivity, potency, and reduced side effects.","An in vivo test was performed to evaluate the antinociceptive potency of (I) through KOR agonism in an inflammatory pain model using mice. (I) exhibited a functional affinity of 1.3 ± 0.4 × 10?? M and an Emax of 137 ± 33%, demonstrating nearly 10% lower ED50 than U50,488 (example 9, pages 58 and 59; figure 12, table 1).",,"Several compounds are exemplified, including TCD(1,8)-OH (I) (page 19; figure 1, page 41). No compounds are specifically claimed. A Markush structure is presented (claim 1, page 60). Sequences provided in source document.",2025-02-27,EP2023192461,2023-08-21,2025-03-12,,
WO-2025040657,Selective cyclized peptide kappa-opioid receptor antagonists,"New cyclic peptide or cyclized dynorphin A analogs are ?-opioid receptor antagonists - useful for treating, eg depression and neuropsychiatric diseases.","New cyclic peptide or cyclized dynorphin A analogs which acts as a KOR antagonist with high selectivity (>400-fold over MOR/DOR), strong binding affinity (Ki < 8.0×10?? M), and serum stability (>25% remains after 2 hours) is claimed. Compositions comprising the compounds and methods for preparing them are claimed. The compounds are claimed to be useful for treating depression (including major depressive disorder and anhedonia), neuropsychiatric and stress-related disorders (post-traumatic stress disorders, schizophrenia, mood and anxiety disorders), anxiety disorders (phobias), and substance addictions (opioids, methamphetamine, alcohol, nicotine, and cocaine).","The compounds exhibit high KOR selectivity, BBB penetration, CNS modulation, and enhanced serum stability.","An in vivo test was performed to evaluate the KOR antagonist activity of the test compounds after subcutaneous administration in mice, demonstrating its efficacy in reversing U50,488-induced antinociception and motor impairment. (I) (5 mg/kg) exhibited a KOR binding affinity (Ki) of 6.8 x 10-9 M (example 6, pages 55 and 56; figure 5).",,"Several compounds are specifically claimed, including CSD-CH2(1,8)-NH2 (I) (formula (II'), pages 14-15; figure 7, page 42; claim 38, page 61; figure 1). A Markush structure is presented (claim 1, page 55). Sequences provided in source document.",2025-02-27,EP2023192457,2023-08-21,2025-03-12,,
WO-2025040569,"1,3-Dihydro-2H-pyrrolo[3,4-c]quinoline derivatives as cGAS inhibitors for the treatment of inflammatory and/or autoimmune diseases","New 1,3-dihydro-2H-pyrrolo[3,4-c]quinoline derivatives are cGAS inhibitors - useful for treating eg sepsis, multiple sclerosis, and inflammatory bowel diseases.","New 1,3-dihydro-2H-pyrrolo[3,4-c]quinoline derivatives, their stereo-isomeric forms, tautomers, salts, solvates, hydrates, polymorphs, prodrugs, compositions comprising them, methods for their preparation and their use in treating or preventing a cGAS mediated disease eg systemic lupus erythematosus, psoriasis, insulin-dependent diabetes mellitus, sepsis, multiple sclerosis, inflammatory bowel diseases, Alzheimer's disease, Huntington's disease, age related macular degeneration and Parkinson's disease are claimed. The compounds are disclosed to act as cGAS inhibitors.",No specific advantage is given.,"An in vivo test was performed to determine the effect of (I) in a UVB-induced inflammation mouse model. Results revealed that treatment with (I) (30 and 100mpk, PO BID) significantly decreased the expression level of IP10 and IFIT1 in the UVB exposed skin areas and IFN-? levels in mice plasma; and significantly decreased skin histological score and skin epidermal thickness in a dose-dependent manner (example 65, page 274; figures 1A-C).",,"Several compounds including (S)-1-(7-chloro-8-methoxy-1-methyl-1,3-dihydro-2H-pyrrolo[3,4-c]quinolin-2-yl)-2-hydroxyethan-1-one (I) (compound 058, page 107, table 1) are exemplified. No compounds are specifically claimed. Several compounds are excluded form the main claim (claim 1, pages 282-283). A Markush structure is presented (claim 1, page 275).",2025-02-27,EP2023192191,2023-08-18,2025-03-12,,
WO-2025049670,Compounds and methods for treating central nervous system disorders,"Isolated peptides with polyethylene glycol, fatty acid, and half-life extending moiety, are IGF2R/ IGFBP2 modulators - useful for treating a central nervous system disorder.","An isolated peptide or its salt is claimed. Also claimed a composition comprising above peptide and excipient. The peptides are claimed to be useful for treating central nervous system disorder such as Alzheimer's Disease, depression, post-traumatic stress disorder, autism spectrum disorders, bipolar disorder, epilepsy, schizophrenia, obsessive-compulsive disorder, multiple sclerosis and bipolar disorder are claimed.",No specific advanatge is given.,"An in vivo study was conducted to evalaute activity of (I) on rats using Porsolt Forced Swim Test. Results showed that mean floating time when treated with vehicle and (I) was found to be (sec/5min) 150 and 40 respectively (example 1, page 24; figure 1, page 3).",,"Two peptides including KKLRP (I; compound A; SEQ ID NO: 1) (page 3; claim 3, page 29) are specifilaly claimed. A Markush structure is presented (claim 1, page 29). Sequences provided in source document.",2025-03-06,US2023536009,2023-08-31,2025-03-26,,
WO-2025049495,Tertiary pyridyl amine modulators of cholesterol biosynthesis and their use for promoting remylination,New tertiary pyridyl amine compounds are CYP51 inhibitors - useful for treating myelin-related disorders.,"New tertiary pyridyl amines, its slats or solvates thereof, compositions comprising them and their use in promoting myelination in a subject or treating myelin-related disorder eg multiple sclerosis, optic neuritis, schizophrenia, adrenoleukodystrophy, Alexander's disease, amyotrophic lateral sclerosis, Huntington's disease, Alzheimer's disease, Parkinson's disease and Charcot-Marie-Tooth disease, are claimed. A method for inhibiting CYP51 (lanosterol demethylase) comprising contacting CYP51 with a compound, is also claimed. The compounds are stated to act as cholesterol synthesis modulators.",No specific advantage is given.,An in vitro human sterol profiling assay was conducted to assess the ability of test compounds to induce accumulation of key sterol intermediates within the cholesterol biosynthesis pathway in human cells. (I) showed human GC/MS EC50 value of 0.000365 µM (page 177-181; table 3).,,"Several compounds including 2-(4-((4-(difluoromethoxy)-3-fluorophenyl)(4-methoxypyridin-3-yl)amino) piperidin-1-yl)pyrimidine-5-carbonitrile (I) (example BV, compound 74, page 151-152; claim 77, page 204) are specifically claimed. A Markush structure is presented (claim 1, page 183).",2025-03-06,US2023579221,2023-08-28,2025-03-17,,
WO-2025049333,Therapeutic compounds and methods,"New substituted heterocyclcic compounds are Nrf2/KEAP1 pathway activators - useful for treating eg multiple sclerosis, psoriasis, and ALS.","New substituted heterocyclcic compounds, their salts, compositions comprising them, and their use in producing neuroprotective activity against Glu excitotoxicity or oxidative stress, mitigating damage from chemical exposure and for treating eg multiple sclerosis, psoriasis, ALS, subarachnoid hemorrhage, Parkinson's disease, Alzheimer's disease, or Friedreich Ataxia are claimed. The compounds are claimed to produce neuroprotective activity by activating Nrf2. The compounds are disclsoed to act as Nrf2/KEAP1 pathway activators","The compounds are resistant to thiol reactivity, thereby conferring stability and minimizing off-target reactions.","An in vitro test was performed to determine the ability of (I) to protect against Glu toxicity in PC12 and SH-SY5Y cells. Results revealed that incubation with (I) prior to addition of Glu yielded significant protection in a dose-dependent manner in both PC12 and SH-SY5Y cells, with an EC50 of 44 nM and 39 nM for PC12 and SH-SY5Y cells, respectively; whereas, fraxinellone at significantly higher concentrations (ie ?M range) mitigated Glu-mediated toxicity for PC12 cells (example 26, pages 47-60; figure 3E and 3F).",,"Several compounds including compound of example 1 (I) (page 23; claim 21, page 67) are specifically claimed. Two compounds are excluded form the product claim (claim 1, page 65). A Markush structure is presented (claim 1, page 64). Sequences provided in source document.",2025-03-06,US2023534738,2023-08-25,2025-03-17,,
WO-2025048651,Bioactives and their uses,Uses of sarmentosin and/or delphinidin 3-O-glucoside - for treating diseases including cancer.,"The uses of sarmentosin or its ester(s) for inhibiting monoamine oxidase enzyme A (MAO-A) and/or monoamine oxidase enzyme B (MAO-B), in methods for preventing or treating a disease, or maintaining or improving a non-clinical cognitive state or condition associated with MAO-A or MAO-B enzyme activity (eg mood, cardiovascular disease, cancer, inflammation, ocular disease, or multiple sclerosis), for improving, supporting or acting as an adjunct to the MAO inhibition effects of another MAO inhibitor or to provide a nootropic effect are claimed. A composition formulated as a food or beverage, nutraceutical or extract from a plant material, a blackcurrant fruit, blackcurrant juice, extract, or its isolates including sarmentosin for inhibiting MAO-A or MAO-B, a combination of sarmentosin and anthocyanin(s) are claimed.",The combination exhibits synergistic effect and exhibits improved bioavailability.,"A clinical study was conducted to evaluate the efficacy of (I)+(II) to reduce resting stress, anxiety and mental fatigue and improve alertness in healthy adults. Results showed that the treatment exhibited MAO inhibition activity, reduced resting stress, anxiety and mental fatigue (example 7, pages 41-65).",,"Combination comprising only one compound ie 4-(beta-D-glucopyranosyloxy)-2-(hydroxymethyl-2-butenenitrile) (I; sarmentosin) (pages 7-8; claim 1, page 71) and seven anthocyanin(s) including delphinidin 3-O-glucoside (II) (page 11; claim 30, page 73) are specifically claimed for use.",2025-03-06,NZ2023803114; NZ803114,2023-08-25,2025-03-26,,
WO-2025046523,Novel pyrido pyridazinone derivative compound and pharmaceutical composition comprising same,"New pyrido pyridazinone derivatives are ENPP1 inhibitors - useful for treating eg cancer, aortic valve calcification, bacterial infection and alzheimer's disease.","New pyrido pyridazinone derivatives, their salts, stereoisomers, hydrates and solvates, compositions comprising them, and their use as pyrrophosphatase/phosphodiesterase (ENPP1) inhibitors or treating an ENPP1-related diseases, eg cancer, hypophosphatemia, chondrocalcinosis, osteoarthritis, aortic valve calcification, viral or bacterial infection, cystic fibrosis, type 2 diabetes, and Alzheimer's disease, are claimed.","The compounds have a novel structure that potently inhibits ENPP, thus act as anexcellent enzyme activity inhibitor.","In an in vitro ENPP1 enzyme activity assay, compounds were incubated with p-Nitrophenyl thymidine 5'-monophosphate (pNP-TMP) (a synthetic substrate of ENPP1). Several compounds, including (I) showed an IC50 value of <100 nM (experimental example 1, pages 197-201; table 2).",,"Several compounds are specifically claimed, eg N-((1-(5-methoxy-4-oxo-3,4-dihydropyrido[3,4-d]pyridazin-7-yl)piperidin-4-yl)methyl)aminosulfonamide (compound 334; I) (structure drawn from patent) (table 1, page 110; example 1, page 257; claim 6, page 257). Markush structures are presented (claim 1, page 204).",2025-03-06,KR2023115415,2023-08-31,2025-03-17,,
WO-2025046257,A substantially pure propentofylline and preparation thereof,Process for preparing pure propentofylline - comprising N-alkylation reaction of 3-methyl xanthine with n-propyl halide and further manipulative steps.,"A process for preparing pure propentofylline comprising N-alkylation reaction of 3-methyl xanthine with n-propyl halide under basic conditions, followed by alkylation with 6-halo-2-hexanone under basic conditions is claimed; wherein propentofylline is free of impurities. Also claimed are impurities of propentofylline. The drug is disclosed to improve cerebral and peripheral hemodynamics in treating cerebrovascular disorders such as Alzheimer's and vascular dementia. It is also useful as an intermediate in the synthesis of peripheral vasodilators and xanthine-type haemorheologies. Propentofylline is known to act as PDE inhibitor.","The process is simple, produces products with good yield and greater purity and is suitable for large scale production.",No biological data are presented.,,"3-Methyl-7-propyl-xanthine is (I; formula (III)) (page 4; claim 4, page 15). 3-Methyl-1-(5-oxohexyl)-7-propylpurine-2,6-dione is (II; propentofylline) (formula (I), page 1; claim 1, page 15). The synthesis of (II) via intermediate (I) is described (pages 13-14).",2025-03-06,WO2023IB58436,2023-08-25,2025-03-17,,
WO-2025045961,Inhibitors of the NLRP3 inflammation,"Novel pyrido(3,4-d)pyridazine derivatives are NLRP3 inflammation inhibitors - useful for treating asthma, COPD, parkinson's or alzheimer's disease.","Novel pyrido(3,4-d)pyridazine derivatives or its salts, compositions comprising them and their use in the treatment or prevention of a disease, disorder or condition responsive to NLRP3 inhibition selected from asthma, COPD, Parkinson's disease or Alzheimer's disease, are claimed. A method of inhibiting NLRP3, comprises administering an effective amount of a compound, is also claimed.",The compounds are potent and specific in their action with improved pharmacological properties.,An in vitro test was performed to evaluate the NLRP3 inhibitory activity of test compounds using THP-1 Cells pyroptosis assay. (I) showed an IC50 value of 3nM (page 22-25; table 1).,,"Several compounds including 5-[4-[[rel-(1R,2R)-2-hydroxycyclohexyl]amino]pyrido[3,4-d]pyridazin-1-yl]indan-4-ol (I) (example 1A, page 27; claim 7, page 50) are specifically claimed. A Markush structure is presented (claim 1, page 47).",2025-03-06,EP2023194409,2023-08-31,2025-03-11,,
