mechanism_id,name,action_type,target_id
mechanism_pde_5_inhibitor,PDE 5 inhibitor,inhibitor,target_pde_5
mechanism_adipocyte_fatty_acid_binding_protein_inhibitor,Adipocyte fatty acid binding protein inhibitor,inhibitor,target_adipocyte_fatty_acid_binding_protein
mechanism_tgf_beta_receptor_antagonist_antagonist_agonist,TGF beta receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_tgf_beta
mechanism_pancreatic_beta_cell_growth_factor_modulator,Pancreatic beta cell growth factor modulator,modulator,target_pancreatic_beta_cell_growth_factor
mechanism_amp_activated_protein_kinase_stimulator,AMP activated protein kinase stimulator,stimulator,target_amp_activated_protein_kinase
mechanism_gabaa_receptor_modulator,GABAA receptor modulator,modulator,target_gabaa_receptor
mechanism_alk-5_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,Alk-5 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_alk-5
mechanism_casein_kinase-i_gamma-1_inhibitor,Casein kinase-I gamma-1 inhibitor,inhibitor,target_casein_kinase-i_gamma-1
mechanism_major_prion_protein_modulator_modulator,Major prion protein modulator;modulator,protein modulator;modulator,target_major_prion
mechanism_unspecified_calcium_channel_inhibitor,Unspecified calcium channel inhibitor,inhibitor,target_unspecified_calcium_channel
mechanism_glycogen_synthase_kinase-3_beta_inhibitor,Glycogen synthase kinase-3 beta inhibitor,inhibitor,target_glycogen_synthase_kinase-3_beta
mechanism_histamine_h3_receptor_antagonist_antagonist_agonist,Histamine H3 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_histamine_h3
mechanism_mao_a_inhibitor,MAO A inhibitor,inhibitor,target_mao_a
mechanism_mao_b_inhibitor,MAO B inhibitor,inhibitor,target_mao_b
mechanism_dopamine_transporter_inhibitor,Dopamine transporter inhibitor,inhibitor,target_dopamine_transporter
mechanism_membrane_copper_amine_oxidase_inhibitor,Membrane copper amine oxidase inhibitor,inhibitor,target_membrane_copper_amine_oxidase
mechanism_muscarinic_m1_receptor_agonist_agonist,Muscarinic M1 receptor agonist;agonist,receptor agonist;agonist,target_muscarinic_m1
mechanism_hepatocyte_growth_factor_receptor_antagonist_antagonist_agonist,Hepatocyte growth factor receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_hepatocyte_growth_factor
mechanism_pdgf_receptor_alpha_antagonist_agonist,PDGF receptor alpha antagonist;agonist,antagonist;agonist,target_pdgf_receptor_alpha
mechanism_axl_tyrosine_kinase_receptor_inhibitor,Axl tyrosine kinase receptor inhibitor,inhibitor,target_axl_tyrosine_kinase_receptor
mechanism_epha2_tyrosine_kinase_receptor_inhibitor,Epha2 tyrosine kinase receptor inhibitor,inhibitor,target_epha2_tyrosine_kinase_receptor
mechanism_ephb4_tyrosine_kinase_receptor_inhibitor,Ephb4 tyrosine kinase receptor inhibitor,inhibitor,target_ephb4_tyrosine_kinase_receptor
mechanism_src_tyrosine_kinase_inhibitor_inhibitor,Src tyrosine kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_src_tyrosine
mechanism_pak_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,PAK protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_pak
mechanism_nk3_receptor_antagonist_antagonist_agonist,NK3 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_nk3
mechanism_bifunctional_protein_ncoat_inhibitor,Bifunctional protein NCOAT inhibitor,inhibitor,target_bifunctional_protein_ncoat
mechanism_kcnq_voltage-gated_potassium_channel-2_stimulator,KCNQ voltage-gated potassium channel-2 stimulator,stimulator,target_kcnq_voltage-gated_potassium_channel-2
mechanism_crispr_associated_endonuclease_cas9_modulator,CRISPR associated endonuclease Cas9 modulator,modulator,target_crispr_associated_endonuclease_cas9
mechanism_phosphoinositide-3_kinase_delta_inhibitor,Phosphoinositide-3 kinase delta inhibitor,inhibitor,target_phosphoinositide-3_kinase_delta
mechanism_melatonin_mt2_receptor_agonist_agonist,Melatonin MT2 receptor agonist;agonist,receptor agonist;agonist,target_melatonin_mt2
mechanism_melatonin_mt1_receptor_agonist_agonist,Melatonin MT1 receptor agonist;agonist,receptor agonist;agonist,target_melatonin_mt1
mechanism_htr2c_receptor_antagonist_antagonist_agonist,5-HT2C receptor receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_htr2c
mechanism_nicotinamide_riboside_kinase_stimulator,Nicotinamide riboside kinase stimulator,stimulator,target_nicotinamide_riboside_kinase
mechanism_vasopressin_v1a_receptor_antagonist_antagonist_agonist,Vasopressin V1a receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_vasopressin_v1a
mechanism_sigma_opioid_receptor_modulator,Sigma opioid receptor modulator,modulator,target_sigma_opioid_receptor
mechanism_snca_inhibitor,alpha-synuclein inhibitor,inhibitor,target_snca
mechanism_proteasome_stimulator,Proteasome stimulator,stimulator,target_proteasome
mechanism_hcn_potassium-sodium_channel_1_modulator,HCN potassium-sodium channel 1 modulator,modulator,target_hcn_potassium-sodium_channel_1
mechanism_channel_rhodopsin_modulator,Channel rhodopsin modulator,modulator,target_channel_rhodopsin
mechanism_elongation_factor_1_alpha_1_modulator,Elongation factor 1 alpha 1 modulator,modulator,target_elongation_factor_1_alpha_1
mechanism_nmdar_modulator,NMDAR modulator,modulator,target_nmdar
mechanism_halorhodopsin_modulator,Halorhodopsin modulator,modulator,target_halorhodopsin
mechanism_non_receptor_tyrosine_kinase_tyk2_antagonist_agonist,Non receptor tyrosine kinase TYK2 antagonist;agonist,antagonist;agonist,target_non_receptor_tyrosine_kinase_tyk2
mechanism_htr1b_receptor_agonist_agonist,HTR1B receptor agonist;agonist,receptor agonist;agonist,target_htr1b
mechanism_gaba_a_receptor_alpha-5_subunit_inhibitor,GABA A receptor alpha-5 subunit inhibitor,inhibitor,target_gaba_a_receptor_alpha-5_subunit
mechanism_insulin_ligand_unspecified,Insulin ligand unspecified,unspecified,target_insulin_ligand
mechanism_vasopressin_receptor_agonist_agonist,Vasopressin receptor agonist;agonist,receptor agonist;agonist,target_vasopressin
mechanism_oxytocin_receptor_agonist_agonist,Oxytocin receptor agonist;agonist,receptor agonist;agonist,target_oxytocin
mechanism_muscarinic_m2_receptor_antagonist_antagonist_agonist,Muscarinic M2 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_muscarinic_m2
mechanism_ep4_prostanoid_receptor_antagonist_antagonist_agonist,EP4 prostanoid receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_ep4_prostanoid
mechanism_pge2_antagonist_agonist,PGE2 antagonist;agonist,antagonist;agonist,target_pge2
mechanism_ep2_prostanoid_receptor_antagonist_antagonist_agonist,EP2 prostanoid receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_ep2_prostanoid
mechanism_superoxide_dismutase_modulator,Superoxide dismutase modulator,modulator,target_superoxide_dismutase
mechanism_rip-2_kinase_inhibitor_inhibitor,RIP-2 kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_rip-2
mechanism_lrrk2_inhibitor,LRRK2 inhibitor,inhibitor,target_lrrk2
mechanism_tyrosine_protein_kinase_abl1_inhibitor,Tyrosine protein kinase ABL1 inhibitor,inhibitor,target_tyrosine_protein_kinase_abl1
mechanism_5-ht_2_receptor_agonist_agonist,5-HT 2 receptor agonist;agonist,receptor agonist;agonist,target_5-ht_2
mechanism_proteasome_inhibitor,Proteasome inhibitor,inhibitor,target_proteasome
mechanism_alpha_1_adrenoceptor_agonist,Alpha 1 adrenoceptor agonist,agonist,target_alpha_1_adrenoceptor
mechanism_thioredoxin_interacting_protein_inhibitor,Thioredoxin interacting protein inhibitor,inhibitor,target_thioredoxin_interacting_protein
mechanism_txnip_gene_inhibitor,TXNIP gene inhibitor,inhibitor,target_txnip_gene
mechanism_amyloid_like_protein_inhibitor,Amyloid like protein inhibitor,inhibitor,target_amyloid_like_protein
mechanism_monoglyceride_lipase_inhibitor,Monoglyceride lipase inhibitor,inhibitor,target_monoglyceride_lipase
mechanism_fgf3_receptor_antagonist_antagonist_agonist,FGF3 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_fgf3
mechanism_fgf2_receptor_antagonist_antagonist_agonist,FGF2 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_fgf2
mechanism_farnesoid_x_receptor_agonist_agonist,Farnesoid X receptor agonist;agonist,receptor agonist;agonist,target_farnesoid_x
mechanism_adenosine_a2b_receptor_antagonist_antagonist_agonist,Adenosine A2b receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_adenosine_a2b
mechanism_dna_gyrase_inhibitor,DNA gyrase inhibitor,inhibitor,target_dna_gyrase
mechanism_topoisomerase_ii_inhibitor,Topoisomerase II inhibitor,inhibitor,target_topoisomerase_ii
mechanism_g_protein_coupled_receptor_52_agonist,G protein coupled receptor 52 agonist,agonist,target_g_protein_coupled_receptor_52
mechanism_dopamine_receptor_antagonist_antagonist_agonist,Dopamine receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_dopamine
mechanism_5-ht_receptor_agonist_agonist,5-HT receptor agonist;agonist,receptor agonist;agonist,target_5-ht
mechanism_htr1a_receptor_agonist_agonist,5-HT1A receptor receptor agonist;agonist,receptor agonist;agonist,target_htr1a
mechanism_dopamine_transporter_stimulator,Dopamine transporter stimulator,stimulator,target_dopamine_transporter
mechanism_tnf_antagonist_agonist,TNF antagonist;agonist,antagonist;agonist,target_tnf
mechanism_nlr_family_member_x1_stimulator,NLR family member X1 stimulator,stimulator,target_nlr_family_member_x1
mechanism_glucosylceramide_synthase_inhibitor,Glucosylceramide synthase inhibitor,inhibitor,target_glucosylceramide_synthase
mechanism_trace_amine_associated_receptor_1_agonist,Trace amine associated receptor 1 agonist,agonist,target_trace_amine_associated_receptor_1
mechanism_gm-csf_ligand_modulator_modulator,GM-CSF ligand modulator;modulator,ligand modulator;modulator,target_gm-csf
